ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS,PAST_DUE_COUNT,CREDIT_INQUIRIES_6M,EXISTING_LOANS,ACCOUNT_AGE_MONTHS,APPROVED
743,F,N,N,0,81000.0,Working,Secondary / secondary special,Married,House / apartment,-14600,-4380,0,0,0,Managers,2,0,1,3,41,0
744,F,Y,N,1,55400.0,Working,Secondary / secondary special,Married,House / apartment,-16425,-1825,0,1,0,Other,3,0,1,0,3,0
745,M,N,Y,1,93300.0,Working,Incomplete higher,Married,House / apartment,-11680,-12045,0,0,0,Security staff,3,0,3,0,28,0
746,F,N,Y,1,50400.0,Working,Higher education,Civil marriage,House / apartment,-16790,-365,0,0,1,Drivers,3,1,0,0,40,1
747,M,Y,N,0,49100.0,Commercial associate,Higher education,Married,House / apartment,-8760,-2920,0,0,0,Cooking staff,2,1,0,3,28,1
748,F,Y,Y,1,67300.0,Working,Secondary / secondary special,Married,House / apartment,-16790,-7665,0,0,1,Drivers,3,0,1,0,1,1
749,F,Y,N,1,107800.0,Working,Incomplete higher,Separated,Municipal apartment,-10950,-9125,0,0,0,Accountants,2,2,1,2,20,1
750,F,Y,Y,3,104400.0,Working,Secondary / secondary special,Single / not married,House / apartment,-24820,-6935,0,0,1,Managers,4,1,1,2,52,1
751,M,N,N,1,65900.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-12775,365243,0,0,0,Drivers,3,0,2,0,42,1
752,F,Y,N,0,63500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-9125,365243,0,1,0,Laborers,1,0,2,1,57,1
753,F,Y,Y,0,69400.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-3650,0,0,1,Accountants,2,0,1,1,53,1
754,M,Y,Y,0,80200.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-18980,-14235,0,1,0,Cleaning staff,1,0,2,1,9,1
755,M,N,N,1,93800.0,Working,Incomplete higher,Married,House / apartment,-15330,-7300,0,0,1,Managers,3,1,1,1,47,0
756,F,N,N,1,43600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15330,365243,0,0,0,Core staff,3,1,4,0,6,1
757,F,Y,Y,0,94800.0,Commercial associate,Incomplete higher,Married,House / apartment,-11680,-365,0,0,0,Accountants,2,0,1,0,3,0
758,F,Y,N,0,58200.0,Working,Secondary / secondary special,Married,House / apartment,-11315,-12775,0,1,1,Medicine staff,2,0,1,1,25,1
759,F,Y,Y,0,67900.0,Working,Secondary / secondary special,Married,House / apartment,-16060,-10220,0,0,0,Security staff,2,0,1,0,34,1
760,F,N,Y,2,97800.0,Working,Secondary / secondary special,Married,House / apartment,-22995,-7665,0,0,0,Medicine staff,4,0,1,0,32,1
761,M,Y,Y,0,71200.0,Pensioner,Incomplete higher,Married,House / apartment,-23725,365243,0,1,0,Medicine staff,2,0,0,0,7,1
762,M,N,N,0,77500.0,Commercial associate,Secondary / secondary special,Civil marriage,Office apartment,-22265,-8395,0,1,1,Medicine staff,2,0,1,1,55,1
763,M,N,Y,0,40300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13140,-365,1,0,0,Accountants,1,1,1,2,52,1
764,F,N,Y,0,103700.0,Working,Secondary / secondary special,Married,Municipal apartment,-13140,-10950,0,0,1,Core staff,2,0,4,2,59,1
765,M,Y,N,1,69400.0,Working,Higher education,Widow,House / apartment,-7665,-9125,0,1,0,Core staff,2,0,0,1,24,1
766,F,N,Y,2,52200.0,Working,Secondary / secondary special,Separated,House / apartment,-15695,-2190,1,0,0,Other,3,0,1,2,51,0
767,F,N,Y,0,85000.0,State servant,Secondary / secondary special,Married,House / apartment,-17520,-12775,0,0,0,Cleaning staff,2,2,1,6,38,1
768,F,Y,Y,1,178800.0,Working,Higher education,Single / not married,With parents,-18980,-13140,0,0,1,Security staff,2,0,3,1,8,1
769,M,Y,N,0,27300.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-20440,-6205,1,0,1,Laborers,2,0,2,0,54,1
770,F,Y,N,4,32800.0,State servant,Secondary / secondary special,Married,House / apartment,-20805,-9490,0,1,0,Laborers,6,0,0,0,28,1
771,M,Y,N,0,187700.0,Working,Higher education,Married,House / apartment,-8395,-10585,0,1,0,Accountants,2,0,0,2,35,1
772,F,Y,N,0,60700.0,Working,Higher education,Married,Office apartment,-12045,-3285,1,1,0,Cooking staff,2,2,2,2,16,0
773,M,N,N,0,53900.0,Working,Secondary / secondary special,Married,House / apartment,-17520,-10950,0,0,0,High skill tech staff,2,0,1,2,33,1
774,M,N,N,0,46300.0,Commercial associate,Higher education,Widow,House / apartment,-17520,-5475,1,1,0,High skill tech staff,1,1,1,3,5,1
775,F,N,Y,0,89700.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-23725,-6570,0,0,0,Medicine staff,1,0,1,1,30,1
776,M,Y,Y,1,180900.0,Working,Secondary / secondary special,Married,House / apartment,-16060,-12775,1,0,0,Cleaning staff,3,0,1,2,2,1
777,M,N,N,1,35200.0,Commercial associate,Higher education,Single / not married,House / apartment,-12045,-11680,0,1,1,Cleaning staff,2,1,2,1,50,1
778,F,Y,N,0,46700.0,Pensioner,Higher education,Married,House / apartment,-16060,365243,0,0,0,Managers,2,2,3,2,11,1
779,F,N,Y,1,41100.0,Commercial associate,Higher education,Married,House / apartment,-9125,-5475,1,0,0,Drivers,3,0,1,1,27,1
780,F,Y,Y,0,70700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-13505,365243,0,0,0,Drivers,2,0,2,0,31,1
781,F,Y,Y,1,90300.0,Working,Academic degree,Married,House / apartment,-11680,-2920,0,1,0,High skill tech staff,3,0,2,0,48,1
782,F,N,Y,1,110200.0,Working,Secondary / secondary special,Married,House / apartment,-25185,-8760,0,1,0,Laborers,3,1,2,0,46,1
783,M,Y,Y,1,71900.0,Commercial associate,Lower secondary,Single / not married,House / apartment,-13870,-8030,1,0,0,Managers,2,1,1,0,14,1
784,M,N,Y,0,172800.0,Working,Secondary / secondary special,Married,House / apartment,-19345,-1095,0,0,1,Sales staff,2,0,1,1,23,1
785,M,N,Y,0,36800.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-18615,-1460,0,0,0,Cleaning staff,2,0,1,0,38,1
786,F,N,N,0,32300.0,Working,Higher education,Married,House / apartment,-19710,-9125,1,1,0,Cleaning staff,2,2,4,0,8,1
787,F,N,Y,0,102200.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-18250,365243,0,0,0,Accountants,2,1,2,1,8,1
788,M,N,N,2,52100.0,Working,Secondary / secondary special,Civil marriage,With parents,-23725,-1095,0,1,0,Other,4,2,1,0,38,1
789,F,Y,N,0,24600.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-7300,0,0,1,Other,2,0,1,0,10,1
790,F,N,N,0,41900.0,Working,Higher education,Single / not married,House / apartment,-10950,-8760,0,0,1,Laborers,1,1,0,2,22,0
791,M,N,N,0,55700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-18615,365243,0,0,0,Core staff,2,2,2,1,56,0
792,F,Y,Y,0,35500.0,Working,Secondary / secondary special,Married,House / apartment,-20075,-10950,1,1,0,Other,2,0,1,1,17,1
793,F,Y,N,1,29500.0,Working,Secondary / secondary special,Married,With parents,-12775,-5840,0,1,1,Cleaning staff,3,1,0,0,13,0
794,F,N,N,0,44200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-17155,365243,1,0,1,Other,1,1,3,0,13,0
795,M,N,Y,1,28800.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-17155,365243,0,0,0,Medicine staff,3,0,1,2,31,1
796,F,N,Y,0,67300.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-7665,-4380,0,0,1,Core staff,2,1,1,0,25,1
797,F,Y,Y,2,20000.0,Working,Secondary / secondary special,Single / not married,With parents,-11680,-10950,0,0,0,Other,3,0,2,1,50,1
798,F,N,Y,4,51300.0,Commercial associate,Higher education,Separated,House / apartment,-8760,-1095,1,0,1,Cleaning staff,5,0,2,3,51,1
799,F,Y,Y,1,63600.0,State servant,Higher education,Married,House / apartment,-15695,-2920,0,1,0,Security staff,3,0,1,1,39,1
800,F,N,N,2,46900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-19710,-10585,0,1,1,Managers,3,0,2,0,41,0
801,F,N,Y,0,84700.0,Working,Secondary / secondary special,Separated,House / apartment,-15695,-8395,0,0,0,Sales staff,1,1,1,0,58,1
802,M,Y,N,3,24700.0,Working,Higher education,Married,With parents,-14235,-1095,1,0,1,Managers,5,0,2,0,47,0
803,F,N,N,2,34500.0,Commercial associate,Incomplete higher,Married,Municipal apartment,-14600,-730,0,1,1,Security staff,4,0,2,2,26,1
804,F,N,N,4,41600.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-14600,-13870,0,0,0,Accountants,6,1,2,0,16,1
805,M,N,N,1,70000.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-17885,-10220,0,0,0,Cleaning staff,3,0,1,0,35,1
806,F,N,N,2,54700.0,Working,Academic degree,Married,With parents,-12045,-7300,0,0,0,Cleaning staff,4,0,0,0,50,1
807,F,N,Y,0,143200.0,State servant,Secondary / secondary special,Married,Municipal apartment,-17520,-4015,0,0,0,Managers,2,1,1,0,52,1
808,F,N,N,0,32800.0,Pensioner,Higher education,Single / not married,House / apartment,-16060,365243,1,0,0,Accountants,1,0,3,0,48,1
809,F,Y,N,0,24400.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-15330,-1460,0,0,0,Medicine staff,1,1,1,2,11,0
810,M,Y,Y,2,119900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15330,365243,0,0,0,Cleaning staff,4,0,3,1,16,1
811,F,Y,N,0,24000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-21900,-5840,1,1,0,Cleaning staff,1,0,3,0,51,1
812,F,N,N,1,69000.0,Working,Higher education,Separated,Municipal apartment,-11315,-13140,0,1,0,Medicine staff,2,1,1,0,25,1
813,M,N,N,0,30100.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-10220,-10950,0,0,0,Other,2,2,1,1,53,0
814,F,Y,Y,0,20000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-18980,-4015,0,1,0,High skill tech staff,1,0,5,1,37,1
815,F,N,N,2,40600.0,Working,Secondary / secondary special,Separated,House / apartment,-16060,-7665,1,1,0,Cleaning staff,3,1,1,3,23,0
816,F,N,Y,2,76900.0,Working,Higher education,Civil marriage,House / apartment,-11680,-13870,1,0,0,Cleaning staff,4,0,1,0,51,1
817,F,N,Y,1,26600.0,State servant,Higher education,Single / not married,House / apartment,-25185,-1460,0,0,0,Laborers,2,1,2,1,20,0
818,M,Y,Y,0,65400.0,Working,Secondary / secondary special,Separated,House / apartment,-21900,-6935,0,1,0,Cooking staff,1,1,0,0,40,1
819,M,N,Y,0,71800.0,Working,Higher education,Civil marriage,House / apartment,-14965,-5475,0,1,0,Cleaning staff,2,1,0,1,47,1
820,M,Y,N,0,26000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-8395,-3285,0,1,0,Cleaning staff,2,0,0,1,21,0
821,F,Y,Y,0,43700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21535,365243,0,0,1,Sales staff,2,0,1,0,58,1
822,M,N,Y,0,107900.0,State servant,Secondary / secondary special,Married,Rented apartment,-23725,-1825,0,0,0,High skill tech staff,2,0,2,0,27,1
823,M,Y,Y,0,67900.0,Commercial associate,Higher education,Married,With parents,-13870,-8030,1,1,0,Laborers,2,1,1,1,36,0
824,M,Y,Y,0,43000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-22630,-8760,0,0,0,Drivers,1,0,2,1,33,1
825,F,N,Y,1,60300.0,Working,Secondary / secondary special,Married,With parents,-9490,-7300,0,1,0,Core staff,3,1,0,0,1,0
826,F,Y,Y,0,34800.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20440,-6570,0,0,0,Laborers,1,0,0,1,23,1
827,M,N,N,0,85500.0,Working,Secondary / secondary special,Separated,House / apartment,-23725,-12045,0,0,0,Cooking staff,1,0,2,0,46,1
828,M,Y,Y,0,85500.0,Commercial associate,Incomplete higher,Married,Municipal apartment,-12775,-14235,0,0,0,Other,2,1,1,1,41,1
829,F,Y,Y,4,52100.0,Working,Secondary / secondary special,Married,House / apartment,-25185,-6935,0,1,0,Sales staff,6,0,0,1,21,1
830,F,Y,Y,0,55000.0,Working,Secondary / secondary special,Single / not married,With parents,-23725,-730,0,0,1,Core staff,1,0,0,0,16,1
831,M,Y,N,0,29800.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12775,-2190,0,1,0,High skill tech staff,2,1,2,0,48,0
832,F,N,Y,0,24900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-21170,365243,1,0,0,High skill tech staff,1,2,2,1,16,1
833,M,N,N,2,40600.0,Student,Secondary / secondary special,Married,House / apartment,-23360,-1095,0,1,0,Cleaning staff,4,0,1,1,10,1
834,M,N,N,2,46900.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16060,365243,0,1,1,Accountants,3,1,2,1,31,1
835,F,N,N,1,83400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9855,-1825,0,1,0,Accountants,3,0,2,1,44,1
836,M,Y,Y,0,77700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10585,-7300,1,1,0,Drivers,2,1,1,0,32,1
837,F,N,N,1,53800.0,Pensioner,Secondary / secondary special,Married,House / apartment,-11315,365243,1,0,1,Sales staff,3,1,0,1,22,0
838,M,N,N,1,88900.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13140,-4015,0,0,1,High skill tech staff,2,2,0,3,45,1
839,F,N,Y,1,30600.0,State servant,Higher education,Married,With parents,-9855,-7300,1,0,0,Sales staff,3,0,1,2,43,1
840,F,Y,N,2,84000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16425,-12045,0,0,0,Drivers,4,2,2,1,20,1
841,M,N,N,0,33000.0,State servant,Higher education,Married,House / apartment,-12410,-2190,1,0,1,Sales staff,2,0,1,3,5,1
842,F,N,N,0,91100.0,Pensioner,Higher education,Civil marriage,House / apartment,-7665,365243,0,0,1,High skill tech staff,2,1,1,3,22,1
843,M,Y,N,2,48700.0,Working,Secondary / secondary special,Widow,House / apartment,-14600,-14235,0,0,1,Managers,3,0,0,3,33,1
844,F,N,N,1,20000.0,Working,Higher education,Married,Rented apartment,-17520,-7300,1,1,1,Security staff,3,0,0,0,27,1
845,M,Y,N,0,70600.0,Working,Higher education,Single / not married,House / apartment,-25185,-8760,0,1,0,Core staff,1,0,3,0,1,1
846,M,N,N,0,73500.0,Working,Higher education,Married,House / apartment,-21170,-1825,0,1,0,Accountants,2,0,1,0,48,0
847,M,N,N,2,39000.0,Working,Incomplete higher,Single / not married,House / apartment,-19710,-9490,0,0,0,Drivers,3,0,4,1,45,1
848,F,N,N,0,40700.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-10585,-12410,1,0,0,Security staff,2,1,0,0,19,1
849,F,N,Y,0,45300.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-24820,365243,1,0,0,Cooking staff,1,0,3,1,17,1
850,F,Y,Y,0,20000.0,Working,Secondary / secondary special,Married,House / apartment,-14600,-5840,0,1,1,Drivers,2,1,1,2,44,1
851,M,N,N,2,20000.0,State servant,Secondary / secondary special,Civil marriage,House / apartment,-22995,-1460,0,0,1,Other,4,1,0,0,30,1
852,F,N,Y,2,94000.0,Working,Secondary / secondary special,Married,House / apartment,-21170,-11315,0,0,0,Drivers,4,0,1,2,38,1
853,M,Y,N,0,32500.0,Pensioner,Higher education,Separated,House / apartment,-18615,365243,0,0,0,Other,1,2,2,2,54,1
854,F,N,N,1,123900.0,Working,Secondary / secondary special,Married,With parents,-14965,-12410,0,1,0,Core staff,3,0,1,3,41,1
855,M,N,N,0,97300.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-15330,365243,0,0,0,Sales staff,2,1,1,1,15,0
856,M,Y,N,0,107300.0,Working,Secondary / secondary special,Married,Municipal apartment,-12045,-3285,0,0,0,High skill tech staff,2,0,1,2,40,1
857,M,Y,N,2,35400.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-23360,-365,0,0,0,Managers,4,1,2,0,29,1
858,F,Y,Y,0,21900.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-24455,-6205,0,0,0,Cleaning staff,2,0,1,0,13,0
859,F,N,N,0,28500.0,State servant,Higher education,Married,House / apartment,-16425,-12410,0,1,0,Sales staff,2,1,1,0,42,0
860,M,N,Y,1,39200.0,Working,Lower secondary,Civil marriage,House / apartment,-15330,-7665,0,0,0,Drivers,3,3,2,0,38,0
861,F,N,Y,0,20000.0,Working,Secondary / secondary special,Married,Municipal apartment,-21170,-1460,1,1,0,Security staff,2,0,1,1,51,1
862,F,N,Y,0,38600.0,Pensioner,Secondary / secondary special,Married,House / apartment,-14600,365243,0,1,0,Sales staff,2,0,2,0,39,1
863,F,N,Y,1,44300.0,Working,Higher education,Married,House / apartment,-18980,-11315,0,0,0,Accountants,3,1,2,1,13,1
864,M,N,Y,1,25700.0,Working,Higher education,Single / not married,House / apartment,-13140,-12045,0,0,1,Security staff,2,1,2,2,28,1
865,M,Y,Y,0,29100.0,Working,Incomplete higher,Single / not married,With parents,-14600,-13140,0,0,1,Managers,1,0,3,2,43,0
866,F,N,N,0,43900.0,Working,Secondary / secondary special,Single / not married,With parents,-22265,-3650,0,1,0,Accountants,1,0,3,0,26,1
867,M,N,N,1,58600.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-15330,-3285,0,0,0,Cleaning staff,3,1,0,1,51,1
868,M,N,Y,4,31400.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-22630,-8030,0,0,0,Accountants,6,2,1,0,5,1
869,F,N,Y,0,56700.0,Working,Secondary / secondary special,Single / not married,Rented apartment,-21170,-13505,1,1,0,Cleaning staff,1,3,1,0,17,0
870,F,Y,N,4,52500.0,Working,Higher education,Married,House / apartment,-23725,-3285,0,0,1,Sales staff,6,1,2,0,11,1
871,M,N,N,1,50200.0,Working,Higher education,Single / not married,House / apartment,-20805,-2190,0,1,1,Laborers,2,1,0,2,23,1
872,M,Y,N,2,35400.0,Pensioner,Higher education,Widow,House / apartment,-12775,365243,0,1,0,Managers,3,0,1,0,30,1
873,F,N,Y,0,25200.0,State servant,Secondary / secondary special,Married,Office apartment,-11680,-8030,0,1,0,Security staff,2,0,0,1,38,1
874,M,Y,N,0,114500.0,Working,Higher education,Single / not married,House / apartment,-10585,-3650,0,0,0,Cooking staff,1,1,2,0,7,1
875,M,N,Y,0,67200.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-20805,365243,1,0,0,Accountants,1,0,6,0,6,0
876,M,Y,N,0,81100.0,State servant,Secondary / secondary special,Single / not married,With parents,-23360,-2555,1,1,1,Cooking staff,1,2,1,1,26,1
877,F,Y,Y,4,47000.0,Commercial associate,Incomplete higher,Separated,House / apartment,-12775,-8030,0,1,0,High skill tech staff,5,1,0,3,37,1
878,F,Y,Y,0,45200.0,Student,Secondary / secondary special,Married,House / apartment,-23360,-12775,0,0,1,Drivers,2,1,0,1,5,0
879,M,Y,Y,1,62700.0,Working,Higher education,Married,House / apartment,-15330,-2190,1,0,1,Cleaning staff,3,0,1,0,20,1
880,M,Y,Y,0,20000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-11680,365243,0,0,0,Cooking staff,2,0,1,3,4,1
881,M,N,Y,1,28100.0,Commercial associate,Incomplete higher,Separated,House / apartment,-17155,-4015,0,1,0,Cooking staff,2,0,1,1,53,1
882,F,N,N,0,32900.0,Working,Secondary / secondary special,Married,House / apartment,-14235,-10950,0,1,1,Laborers,2,0,3,0,34,1
883,M,Y,N,0,39100.0,Commercial associate,Higher education,Widow,House / apartment,-24455,-3650,0,0,0,Managers,1,2,1,3,49,1
884,M,Y,N,0,31600.0,Working,Lower secondary,Married,House / apartment,-16425,-13140,1,0,0,Sales staff,2,2,0,0,58,1
885,F,N,Y,2,57900.0,Working,Incomplete higher,Married,House / apartment,-10950,-9125,1,0,1,Sales staff,4,1,0,1,20,1
886,M,N,Y,0,51100.0,Working,Secondary / secondary special,Married,House / apartment,-20075,-1460,1,0,0,Other,2,1,3,0,22,1
887,F,N,N,0,98400.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-23360,-2190,0,0,0,Cleaning staff,1,2,0,0,55,1
888,M,N,N,0,168900.0,Commercial associate,Lower secondary,Married,With parents,-11680,-12775,0,0,0,Laborers,2,0,1,2,35,1
889,M,Y,Y,3,26100.0,Commercial associate,Lower secondary,Married,House / apartment,-10220,-2190,0,0,0,Sales staff,5,0,0,3,16,1
890,M,Y,Y,1,52800.0,Working,Secondary / secondary special,Married,House / apartment,-11315,-13870,1,0,1,Cooking staff,3,0,1,0,48,0
891,F,Y,N,1,52700.0,Working,Secondary / secondary special,Separated,House / apartment,-21535,-12775,0,0,0,Cleaning staff,2,0,1,1,15,1
892,F,N,Y,1,48700.0,Working,Secondary / secondary special,Widow,House / apartment,-14235,-1825,1,1,0,Cooking staff,2,0,2,0,22,1
893,F,N,Y,0,28500.0,Pensioner,Secondary / secondary special,Married,With parents,-15695,365243,0,1,0,Medicine staff,2,2,2,1,5,1
894,M,N,N,1,31000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-16060,365243,0,1,1,Managers,2,0,0,1,24,1
895,F,Y,N,0,55300.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-12775,-365,0,1,1,Accountants,1,0,0,0,18,1
896,M,Y,N,0,30600.0,Student,Lower secondary,Single / not married,House / apartment,-14600,-730,1,1,1,Core staff,1,1,2,1,11,1
897,M,Y,Y,1,53100.0,State servant,Secondary / secondary special,Married,House / apartment,-16425,-13870,0,0,1,Other,3,1,1,3,56,1
898,F,N,Y,1,43300.0,Working,Incomplete higher,Married,House / apartment,-12410,-12045,1,0,1,Accountants,3,0,0,0,1,1
899,M,Y,N,0,52600.0,Working,Incomplete higher,Single / not married,House / apartment,-10950,-4745,0,1,0,High skill tech staff,1,0,1,0,16,1
900,M,N,N,0,30400.0,Working,Higher education,Married,With parents,-24820,-8760,0,0,1,Medicine staff,2,2,0,0,37,1
901,M,Y,Y,2,53000.0,Working,Secondary / secondary special,Married,House / apartment,-17885,-13140,0,0,0,Medicine staff,4,1,1,2,50,1
902,M,N,Y,1,31600.0,Pensioner,Secondary / secondary special,Married,With parents,-24455,365243,0,0,1,Medicine staff,3,0,1,1,53,1
903,M,N,Y,0,53100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-25185,-5475,0,1,0,Cooking staff,2,0,1,2,21,1
904,F,N,Y,0,95800.0,Pensioner,Incomplete higher,Civil marriage,House / apartment,-25185,365243,0,0,0,Managers,2,1,1,0,25,1
905,M,N,N,2,55900.0,Commercial associate,Secondary / secondary special,Married,Municipal apartment,-11680,-8395,1,0,0,Security staff,4,1,1,1,49,1
906,F,N,N,1,57600.0,Commercial associate,Secondary / secondary special,Single / not married,Rented apartment,-19345,-2555,0,1,0,Medicine staff,2,0,1,1,10,1
907,F,N,Y,4,73800.0,Working,Secondary / secondary special,Married,House / apartment,-15695,-365,0,1,1,Managers,6,3,1,3,2,0
908,M,N,Y,0,24300.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12410,-9125,0,0,0,Core staff,1,2,2,1,46,0
909,M,N,N,0,115800.0,Commercial associate,Lower secondary,Married,House / apartment,-15695,-6205,0,0,0,Laborers,2,2,3,3,26,0
910,M,N,Y,0,28900.0,Pensioner,Secondary / secondary special,Married,Co-op apartment,-25185,365243,0,1,0,Other,2,0,4,2,47,0
911,F,N,N,1,76100.0,Pensioner,Higher education,Civil marriage,Municipal apartment,-20805,365243,0,0,1,Core staff,3,1,0,1,8,0
912,M,N,N,0,71200.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15330,-13140,0,0,1,Drivers,1,1,2,1,10,1
913,F,N,N,0,31200.0,Working,Higher education,Married,House / apartment,-17885,-11680,0,0,0,Cleaning staff,2,0,1,5,6,1
914,M,Y,Y,0,81200.0,Working,Secondary / secondary special,Married,House / apartment,-20440,-11315,0,0,0,Drivers,2,0,1,0,44,1
915,F,Y,Y,1,62900.0,Pensioner,Incomplete higher,Separated,House / apartment,-8030,365243,0,0,0,Cooking staff,2,1,2,1,50,0
916,M,N,Y,0,126100.0,Working,Secondary / secondary special,Married,House / apartment,-14600,-9490,0,1,1,Core staff,2,1,0,0,11,1
917,M,N,Y,1,54000.0,Commercial associate,Higher education,Single / not married,House / apartment,-9125,-7300,0,0,0,Managers,2,1,2,3,13,0
918,F,N,Y,2,46400.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17155,-8030,0,0,0,Medicine staff,4,1,2,1,57,0
919,F,N,N,1,37900.0,Working,Secondary / secondary special,Married,With parents,-8395,-3650,0,0,0,Laborers,3,1,0,0,19,0
920,M,N,N,0,20500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-13870,-7300,0,1,0,Core staff,1,0,2,2,29,1
921,F,N,N,4,41800.0,State servant,Secondary / secondary special,Separated,House / apartment,-12045,-10950,1,0,0,Core staff,5,1,2,0,16,1
922,F,Y,Y,0,42700.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15330,365243,0,0,1,Drivers,2,0,1,1,52,0
923,F,N,N,0,55900.0,Pensioner,Secondary / secondary special,Married,House / apartment,-12045,365243,0,0,0,Other,2,0,1,2,4,0
924,F,N,N,4,24100.0,Working,Secondary / secondary special,Civil marriage,House / apartment,-11680,-5475,0,1,0,Core staff,6,0,2,2,54,1
925,M,Y,Y,0,43500.0,Working,Secondary / secondary special,Married,House / apartment,-18980,-10950,0,1,1,Medicine staff,2,2,1,1,53,1
926,M,N,N,0,65400.0,Student,Secondary / secondary special,Single / not married,With parents,-20440,-4380,0,1,0,Sales staff,1,1,1,0,14,1
927,M,N,Y,0,68700.0,Working,Secondary / secondary special,Married,House / apartment,-9855,-6570,1,1,1,Sales staff,2,0,1,1,1,1
928,F,Y,Y,0,20000.0,Working,Secondary / secondary special,Married,House / apartment,-9490,-3285,0,0,1,Medicine staff,2,1,4,1,33,1
929,F,Y,Y,1,69800.0,Working,Secondary / secondary special,Married,Rented apartment,-21900,-13505,0,0,1,Laborers,3,2,0,1,47,0
930,M,N,N,0,43300.0,Working,Secondary / secondary special,Married,House / apartment,-20805,-1460,0,1,1,Managers,2,2,4,0,21,0
931,M,Y,N,1,44700.0,Working,Secondary / secondary special,Married,House / apartment,-9490,-1095,1,0,0,Accountants,3,0,0,1,23,1
932,F,Y,Y,1,20000.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-16425,-14235,0,0,0,Drivers,2,1,2,1,3,1
933,F,Y,Y,0,103400.0,State servant,Secondary / secondary special,Married,House / apartment,-17155,-4015,0,0,1,Sales staff,2,1,2,0,54,1
934,F,N,Y,0,53600.0,Working,Incomplete higher,Civil marriage,House / apartment,-9125,-9125,1,0,0,Medicine staff,2,0,2,0,43,0
935,M,N,Y,0,22800.0,Working,Incomplete higher,Separated,With parents,-14235,-5110,1,0,1,Drivers,1,0,2,0,10,1
936,M,N,Y,2,59100.0,Commercial associate,Higher education,Separated,House / apartment,-10585,-11315,0,1,0,High skill tech staff,3,0,0,0,48,1
